Date,Time,Millis,SensorValue
12/8/2020,11:33:16 PM,615144,377
12/8/2020,11:33:18 PM,617645,369
12/8/2020,11:33:21 PM,620145,394
12/8/2020,11:33:23 PM,622645,401
12/8/2020,11:33:26 PM,625145,397
12/8/2020,11:33:28 PM,627646,393
12/8/2020,11:33:31 PM,630147,382
12/8/2020,11:33:33 PM,632647,399
12/8/2020,11:33:36 PM,635148,374
12/8/2020,11:33:38 PM,637648,208
12/8/2020,11:33:41 PM,640149,295
12/8/2020,11:33:43 PM,642650,395
12/8/2020,11:33:46 PM,645150,409
12/8/2020,11:33:48 PM,647651,391
12/8/2020,11:33:51 PM,650151,398
12/8/2020,11:33:53 PM,652652,404
12/8/2020,11:33:56 PM,655153,407
12/8/2020,11:33:58 PM,657653,398
12/8/2020,11:34:01 PM,660154,402
12/8/2020,11:34:03 PM,662654,404
12/8/2020,11:34:06 PM,665155,402
12/8/2020,11:34:08 PM,667656,394
12/8/2020,11:34:11 PM,670156,396
12/8/2020,11:34:13 PM,672657,403
12/8/2020,11:34:16 PM,675158,408
12/8/2020,11:34:18 PM,677658,400
12/8/2020,11:34:21 PM,680159,396
12/8/2020,11:34:23 PM,682659,404
12/8/2020,11:34:26 PM,685160,399
12/8/2020,11:34:28 PM,687661,392
12/8/2020,11:34:31 PM,690161,400
12/8/2020,11:34:33 PM,692662,404
12/8/2020,11:34:36 PM,695162,400
12/8/2020,11:34:38 PM,697663,394
12/8/2020,11:34:41 PM,700164,398
12/8/2020,11:34:43 PM,702664,403
12/8/2020,11:34:46 PM,705165,405
12/8/2020,11:34:48 PM,707665,405
12/8/2020,11:34:51 PM,710166,399
12/8/2020,11:34:53 PM,712667,396
12/8/2020,11:34:56 PM,715167,394
12/8/2020,11:34:58 PM,717668,400
12/8/2020,11:35:01 PM,720168,403
12/8/2020,11:35:03 PM,722669,405
12/8/2020,11:35:06 PM,725170,403
12/8/2020,11:35:08 PM,727670,399
12/8/2020,11:35:11 PM,730171,396
12/8/2020,11:35:13 PM,732672,391
12/8/2020,11:35:16 PM,735172,394
12/8/2020,11:35:18 PM,737673,400
12/8/2020,11:35:21 PM,740173,401
12/8/2020,11:35:23 PM,742674,402
12/8/2020,11:35:26 PM,745175,404
12/8/2020,11:35:28 PM,747675,405
12/8/2020,11:35:31 PM,750176,400
12/8/2020,11:35:33 PM,752676,397
12/8/2020,11:35:36 PM,755177,397
12/8/2020,11:35:38 PM,757678,394
12/8/2020,11:35:41 PM,760178,399
12/8/2020,11:35:43 PM,762679,401
12/8/2020,11:35:46 PM,765179,403
12/8/2020,11:35:48 PM,767680,402
12/8/2020,11:35:51 PM,770181,398
12/8/2020,11:35:53 PM,772681,395
12/8/2020,11:35:56 PM,775182,401
12/8/2020,11:35:58 PM,777682,404
12/8/2020,11:36:01 PM,780183,397
12/8/2020,11:36:03 PM,782684,391
12/8/2020,11:36:06 PM,785184,394
12/8/2020,11:36:08 PM,787684,400
12/8/2020,11:36:11 PM,790184,399
12/8/2020,11:36:13 PM,792685,393
12/8/2020,11:36:16 PM,795186,399
12/8/2020,11:36:18 PM,797686,399
12/8/2020,11:36:21 PM,800187,399
12/8/2020,11:36:23 PM,802688,393
12/8/2020,11:36:26 PM,805188,391
12/8/2020,11:36:28 PM,807689,398
12/8/2020,11:36:31 PM,810189,402
12/8/2020,11:36:33 PM,812690,398
12/8/2020,11:36:36 PM,815191,392
12/8/2020,11:36:38 PM,817691,390
12/8/2020,11:36:41 PM,820192,396
12/8/2020,11:36:43 PM,822692,402
12/8/2020,11:36:46 PM,825193,375
12/8/2020,11:36:48 PM,827694,351
12/8/2020,11:36:51 PM,830194,343
12/8/2020,11:36:53 PM,832695,339
12/8/2020,11:36:56 PM,835195,340
12/8/2020,11:36:58 PM,837696,347
12/8/2020,11:37:01 PM,840197,351
12/8/2020,11:37:03 PM,842697,360
12/8/2020,11:37:06 PM,845198,352
12/8/2020,11:37:09 PM,847698,348
12/8/2020,11:37:11 PM,850199,347
12/8/2020,11:37:13 PM,852700,347
12/8/2020,11:37:16 PM,855200,352
12/8/2020,11:37:18 PM,857701,355
12/8/2020,11:37:21 PM,860201,357
12/8/2020,11:37:23 PM,862702,359
12/8/2020,11:37:26 PM,865203,359
12/8/2020,11:37:28 PM,867703,350
12/8/2020,11:37:31 PM,870204,347
12/8/2020,11:37:33 PM,872705,349
12/8/2020,11:37:36 PM,875205,354
12/8/2020,11:37:38 PM,877706,358
12/8/2020,11:37:41 PM,880206,360
12/8/2020,11:37:43 PM,882707,354
12/8/2020,11:37:46 PM,885208,349
12/8/2020,11:37:48 PM,887708,343
12/8/2020,11:37:51 PM,890209,353
12/8/2020,11:37:53 PM,892709,166
12/8/2020,11:37:56 PM,895210,312
12/8/2020,11:37:58 PM,897711,306
12/8/2020,11:38:01 PM,900211,292
12/8/2020,11:38:03 PM,902712,301
12/8/2020,11:38:06 PM,905212,301
12/8/2020,11:38:08 PM,907713,293
12/8/2020,11:38:11 PM,910214,293
12/8/2020,11:38:13 PM,912714,295
12/8/2020,11:38:16 PM,915215,299
12/8/2020,11:38:18 PM,917715,300
12/8/2020,11:38:21 PM,920216,302
12/8/2020,11:38:23 PM,922717,297
12/8/2020,11:38:26 PM,925217,291
12/8/2020,11:38:28 PM,927718,294
12/8/2020,11:38:31 PM,930219,320
12/8/2020,11:38:33 PM,932719,247
12/8/2020,11:38:36 PM,935220,256
12/8/2020,11:38:38 PM,937720,241
12/8/2020,11:38:41 PM,940221,233
12/8/2020,11:38:43 PM,942722,230
12/8/2020,11:38:46 PM,945222,235
12/8/2020,11:38:48 PM,947723,316
12/8/2020,11:38:51 PM,950223,324
12/8/2020,11:38:53 PM,952723,322
12/8/2020,11:38:56 PM,955224,319
12/8/2020,11:38:58 PM,957724,323
12/8/2020,11:39:01 PM,960225,331
12/8/2020,11:39:03 PM,962725,335
12/8/2020,11:39:06 PM,965226,333
12/8/2020,11:39:08 PM,967727,303
12/8/2020,11:39:11 PM,970227,308
12/8/2020,11:39:13 PM,972728,313
12/8/2020,11:39:16 PM,975228,321
12/8/2020,11:39:18 PM,977729,327
12/8/2020,11:39:21 PM,980230,327
12/8/2020,11:39:23 PM,982730,333
12/8/2020,11:39:26 PM,985231,333
12/8/2020,11:39:28 PM,987731,334
12/8/2020,11:39:31 PM,990232,341
12/8/2020,11:39:33 PM,992733,347
12/8/2020,11:39:36 PM,995233,353
12/8/2020,11:39:38 PM,997734,349
12/8/2020,11:39:41 PM,1000235,348
12/8/2020,11:39:43 PM,1002735,351
12/8/2020,11:39:46 PM,1005236,355
12/8/2020,11:39:48 PM,1007736,348
12/8/2020,11:39:51 PM,1010237,340
12/8/2020,11:39:53 PM,1012738,359
12/8/2020,11:39:56 PM,1015238,352
12/8/2020,11:39:58 PM,1017739,353
12/8/2020,11:40:01 PM,1020239,346
12/8/2020,11:40:03 PM,1022740,339
12/8/2020,11:40:06 PM,1025241,359
12/8/2020,11:40:08 PM,1027741,350
12/8/2020,11:40:11 PM,1030242,356
12/8/2020,11:40:13 PM,1032742,352
12/8/2020,11:40:16 PM,1035243,356
12/8/2020,11:40:18 PM,1037744,310
12/8/2020,11:40:21 PM,1040244,329
12/8/2020,11:40:23 PM,1042745,312
12/8/2020,11:40:26 PM,1045246,312
12/8/2020,11:40:28 PM,1047747,321
12/8/2020,11:40:31 PM,1050248,343
12/8/2020,11:40:33 PM,1052748,338
12/8/2020,11:40:36 PM,1055249,341
12/8/2020,11:40:38 PM,1057750,335
12/8/2020,11:40:41 PM,1060250,333
12/8/2020,11:40:43 PM,1062751,333
12/8/2020,11:40:46 PM,1065251,358
12/8/2020,11:40:48 PM,1067752,351
12/8/2020,11:40:51 PM,1070253,352
12/8/2020,11:40:53 PM,1072753,357
12/8/2020,11:40:56 PM,1075254,360
12/8/2020,11:40:58 PM,1077754,357
12/8/2020,11:41:01 PM,1080255,359
12/8/2020,11:41:03 PM,1082756,372
12/8/2020,11:41:06 PM,1085256,335
12/8/2020,11:41:08 PM,1087757,267
12/8/2020,11:41:11 PM,1090257,283
12/8/2020,11:41:13 PM,1092758,260
12/8/2020,11:41:16 PM,1095259,299
12/8/2020,11:41:18 PM,1097759,306
12/8/2020,11:41:21 PM,1100260,306
12/8/2020,11:41:23 PM,1102760,285
12/8/2020,11:41:26 PM,1105261,373
12/8/2020,11:41:28 PM,1107762,371
12/8/2020,11:41:31 PM,1110262,380
12/8/2020,11:41:33 PM,1112763,377
12/8/2020,11:41:36 PM,1115264,370
